2020-04-05 15:33:29.525 +02:00 [INF] Hello, Serilog!
2020-04-05 15:35:56.105 +02:00 [INF] Hello, Serilog!
2020-04-05 15:36:39.414 +02:00 [INF] Hello, Serilog!
2020-04-05 15:37:34.607 +02:00 [INF] Hello, Serilog!
2020-04-05 15:40:41.863 +02:00 [INF] Hello, Serilog!
2020-04-05 15:42:05.474 +02:00 [INF] Hello, Serilog!
2020-04-05 15:44:37.552 +02:00 [INF] Hello, Serilog!
2020-04-05 15:58:55.046 +02:00 [INF] Hello, Serilog!
2020-04-05 16:00:43.605 +02:00 [INF] Hello, Serilog!
2020-04-05 16:01:32.034 +02:00 [INF] Hello, Serilog!
2020-04-05 16:03:13.019 +02:00 [INF] Hello, Serilog!
2020-04-05 16:05:49.423 +02:00 [INF] Hello, Serilog!
2020-04-05 16:09:14.810 +02:00 [INF] Hello, Serilog!
2020-04-05 16:10:39.126 +02:00 [INF] Hello, Serilog!
2020-04-05 16:12:21.611 +02:00 [INF] Hello, Serilog!
2020-04-05 16:21:38.911 +02:00 [INF] Hello, Serilog!
2020-04-05 16:22:59.543 +02:00 [INF] Hello, Serilog!
2020-04-05 17:35:45.604 +02:00 [INF] Hello, Serilog!
2020-04-05 17:40:52.660 +02:00 [INF] Hello, Serilog!
2020-04-05 17:45:32.178 +02:00 [INF] Hello, Serilog!
2020-04-05 18:14:59.132 +02:00 [INF] Hello, Serilog!
2020-04-05 18:20:58.035 +02:00 [INF] Hello, Serilog!
2020-04-05 18:31:59.600 +02:00 [INF] Hello, Serilog!
2020-04-05 18:35:02.264 +02:00 [INF] Hello, Serilog!
2020-04-05 18:40:10.343 +02:00 [INF] Hello, Serilog!
2020-04-05 18:51:51.018 +02:00 [INF] Hello, Serilog!
2020-04-05 19:00:24.737 +02:00 [INF] Hello, Serilog!
2020-04-05 19:07:09.953 +02:00 [INF] Hello, Serilog!
2020-04-05 19:11:53.657 +02:00 [INF] Hello, Serilog!
2020-04-05 19:21:42.664 +02:00 [INF] Hello, Serilog!
2020-04-05 19:25:20.991 +02:00 [INF] Hello, Serilog!
2020-04-05 19:27:24.403 +02:00 [INF] Hello, Serilog!
2020-04-05 19:30:14.357 +02:00 [INF] Hello, Serilog!
2020-04-05 19:31:51.855 +02:00 [INF] Hello, Serilog!
2020-04-05 19:33:06.542 +02:00 [INF] Hello, Serilog!
2020-04-05 19:41:16.821 +02:00 [INF] Hello, Serilog!
2020-04-05 19:46:14.464 +02:00 [INF] Hello, Serilog!
2020-04-05 19:54:24.447 +02:00 [INF] Hello, Serilog!
2020-04-05 19:56:48.380 +02:00 [INF] Hello, Serilog!
2020-04-05 20:00:03.967 +02:00 [INF] Hello, Serilog!
2020-04-05 20:03:50.709 +02:00 [INF] Hello, Serilog!
2020-04-05 20:08:30.032 +02:00 [INF] Hello, Serilog!
2020-04-05 20:11:03.975 +02:00 [INF] Hello, Serilog!
