2020-04-14 11:55:41.423 +02:00 [INF] Hello, Serilog!
2020-04-14 14:57:43.818 +02:00 [INF] Hello, Serilog!
2020-04-14 16:54:40.049 +02:00 [INF] Hello, Serilog!
2020-04-14 16:57:35.355 +02:00 [INF] Hello, Serilog!
2020-04-14 17:01:43.895 +02:00 [INF] Hello, Serilog!
2020-04-14 17:07:19.823 +02:00 [INF] Hello, Serilog!
2020-04-14 17:07:56.612 +02:00 [INF] Hello, Serilog!
2020-04-14 17:09:53.462 +02:00 [INF] Hello, Serilog!
2020-04-14 17:27:01.657 +02:00 [INF] Hello, Serilog!
2020-04-14 17:29:39.661 +02:00 [INF] Hello, Serilog!
2020-04-14 17:51:34.891 +02:00 [INF] Hello, Serilog!
2020-04-14 17:59:38.061 +02:00 [INF] Hello, Serilog!
2020-04-14 18:01:20.971 +02:00 [INF] Hello, Serilog!
2020-04-14 18:03:38.304 +02:00 [INF] Hello, Serilog!
2020-04-14 18:04:29.192 +02:00 [INF] Hello, Serilog!
2020-04-14 18:13:10.719 +02:00 [INF] Hello, Serilog!
2020-04-14 18:17:08.956 +02:00 [INF] Hello, Serilog!
2020-04-14 18:33:22.870 +02:00 [INF] Hello, Serilog!
2020-04-14 18:45:04.670 +02:00 [INF] Hello, Serilog!
2020-04-14 18:46:02.456 +02:00 [INF] Hello, Serilog!
2020-04-14 18:48:05.665 +02:00 [INF] Hello, Serilog!
2020-04-14 19:31:31.865 +02:00 [INF] Hello, Serilog!
2020-04-14 19:35:34.851 +02:00 [INF] Hello, Serilog!
2020-04-14 19:39:32.344 +02:00 [INF] Hello, Serilog!
2020-04-14 19:40:35.928 +02:00 [INF] Hello, Serilog!
2020-04-14 20:53:54.540 +02:00 [INF] Hello, Serilog!
2020-04-14 20:58:17.147 +02:00 [INF] Hello, Serilog!
2020-04-14 21:03:30.961 +02:00 [INF] Hello, Serilog!
2020-04-14 21:17:14.191 +02:00 [INF] Hello, Serilog!
2020-04-14 21:18:08.541 +02:00 [INF] Hello, Serilog!
2020-04-14 21:19:02.701 +02:00 [INF] Hello, Serilog!
2020-04-14 21:21:01.049 +02:00 [INF] Hello, Serilog!
2020-04-14 21:22:08.595 +02:00 [INF] Hello, Serilog!
2020-04-14 21:23:39.256 +02:00 [INF] Hello, Serilog!
2020-04-14 21:26:32.038 +02:00 [INF] Hello, Serilog!
2020-04-14 21:55:03.242 +02:00 [INF] Hello, Serilog!
